candidate_id,factors,project,steady_case,pulse_cases
mv_038_b7d9e926,"{""membrane_cp"": 1.5934313666557052, ""pb_cp"": 1.5546535470178706, ""pb_k"": 1.0719496996519056, ""stycast_k"": 0.8103136514709819, ""tes_cp"": 0.7628854880645405}",artifacts\search\post_multivariate\candidates\mv_038_b7d9e926\trial_00\project.json,postsearch_mv_038_b7d9e926_00_steady,"{""high"": {""case"": ""postsearch_mv_038_b7d9e926_00_high"", ""series_file"": ""postsearch_mv_038_b7d9e926_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_038_b7d9e926_00_high"", ""series_file"": ""postsearch_mv_038_b7d9e926_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_039_06a40c7f,"{""membrane_cp"": 0.9082390599248771, ""pb_cp"": 0.7600740686979707, ""pb_k"": 0.6932962996140156, ""stycast_k"": 1.2421173461565016, ""tes_cp"": 0.965355472586725}",artifacts\search\post_multivariate\candidates\mv_039_06a40c7f\trial_00\project.json,postsearch_mv_039_06a40c7f_00_steady,"{""high"": {""case"": ""postsearch_mv_039_06a40c7f_00_high"", ""series_file"": ""postsearch_mv_039_06a40c7f_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_039_06a40c7f_00_high"", ""series_file"": ""postsearch_mv_039_06a40c7f_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_040_83dbeed7,"{""membrane_cp"": 0.9704788378878143, ""pb_cp"": 1.5373372704227604, ""pb_k"": 0.927594927186207, ""stycast_k"": 1.2217193273985492, ""tes_cp"": 0.6867150437838034}",artifacts\search\post_multivariate\candidates\mv_040_83dbeed7\trial_00\project.json,postsearch_mv_040_83dbeed7_00_steady,"{""high"": {""case"": ""postsearch_mv_040_83dbeed7_00_high"", ""series_file"": ""postsearch_mv_040_83dbeed7_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_040_83dbeed7_00_high"", ""series_file"": ""postsearch_mv_040_83dbeed7_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_041_c12458ed,"{""membrane_cp"": 1.2424244383745342, ""pb_cp"": 0.9231339108769563, ""pb_k"": 1.0988956544953297, ""stycast_k"": 1.2641618401149626, ""tes_cp"": 1.4550397645807558}",artifacts\search\post_multivariate\candidates\mv_041_c12458ed\trial_00\project.json,postsearch_mv_041_c12458ed_00_steady,"{""high"": {""case"": ""postsearch_mv_041_c12458ed_00_high"", ""series_file"": ""postsearch_mv_041_c12458ed_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_041_c12458ed_00_high"", ""series_file"": ""postsearch_mv_041_c12458ed_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_042_37422c89,"{""membrane_cp"": 0.8593466111632695, ""pb_cp"": 1.2677380426393863, ""pb_k"": 0.801299795484398, ""stycast_k"": 0.6657688169718691, ""tes_cp"": 0.65354908674124}",artifacts\search\post_multivariate\candidates\mv_042_37422c89\trial_00\project.json,postsearch_mv_042_37422c89_00_steady,"{""high"": {""case"": ""postsearch_mv_042_37422c89_00_high"", ""series_file"": ""postsearch_mv_042_37422c89_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_042_37422c89_00_high"", ""series_file"": ""postsearch_mv_042_37422c89_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_043_6cb85302,"{""membrane_cp"": 1.530796982773538, ""pb_cp"": 0.9066121140351809, ""pb_k"": 0.9488686742291085, ""stycast_k"": 0.7687763612259381, ""tes_cp"": 0.9859092853296079}",artifacts\search\post_multivariate\candidates\mv_043_6cb85302\trial_00\project.json,postsearch_mv_043_6cb85302_00_steady,"{""high"": {""case"": ""postsearch_mv_043_6cb85302_00_high"", ""series_file"": ""postsearch_mv_043_6cb85302_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_043_6cb85302_00_high"", ""series_file"": ""postsearch_mv_043_6cb85302_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_044_41613e53,"{""membrane_cp"": 1.3717094962307625, ""pb_cp"": 1.3442059563822337, ""pb_k"": 1.5583169902684917, ""stycast_k"": 0.7407296725969701, ""tes_cp"": 0.9554473843095244}",artifacts\search\post_multivariate\candidates\mv_044_41613e53\trial_00\project.json,postsearch_mv_044_41613e53_00_steady,"{""high"": {""case"": ""postsearch_mv_044_41613e53_00_high"", ""series_file"": ""postsearch_mv_044_41613e53_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_044_41613e53_00_high"", ""series_file"": ""postsearch_mv_044_41613e53_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_045_c48007b0,"{""membrane_cp"": 0.7896890543715239, ""pb_cp"": 0.741695168918024, ""pb_k"": 0.9669709575632189, ""stycast_k"": 0.9614866257083178, ""tes_cp"": 0.6950686671347295}",artifacts\search\post_multivariate\candidates\mv_045_c48007b0\trial_00\project.json,postsearch_mv_045_c48007b0_00_steady,"{""high"": {""case"": ""postsearch_mv_045_c48007b0_00_high"", ""series_file"": ""postsearch_mv_045_c48007b0_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_045_c48007b0_00_high"", ""series_file"": ""postsearch_mv_045_c48007b0_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_046_ed6fa629,"{""membrane_cp"": 1.3947219960972428, ""pb_cp"": 0.738422347844051, ""pb_k"": 1.318820769938229, ""stycast_k"": 0.7256880163748928, ""tes_cp"": 1.1724148097988774}",artifacts\search\post_multivariate\candidates\mv_046_ed6fa629\trial_00\project.json,postsearch_mv_046_ed6fa629_00_steady,"{""high"": {""case"": ""postsearch_mv_046_ed6fa629_00_high"", ""series_file"": ""postsearch_mv_046_ed6fa629_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_046_ed6fa629_00_high"", ""series_file"": ""postsearch_mv_046_ed6fa629_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_047_26b9b306,"{""membrane_cp"": 0.9337176586452178, ""pb_cp"": 0.8027831757672609, ""pb_k"": 1.2482229540174057, ""stycast_k"": 1.092467036139825, ""tes_cp"": 0.8309851053359554}",artifacts\search\post_multivariate\candidates\mv_047_26b9b306\trial_00\project.json,postsearch_mv_047_26b9b306_00_steady,"{""high"": {""case"": ""postsearch_mv_047_26b9b306_00_high"", ""series_file"": ""postsearch_mv_047_26b9b306_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_047_26b9b306_00_high"", ""series_file"": ""postsearch_mv_047_26b9b306_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
